"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 21 17:08:49 EST 2019","Thu Feb 21 17:08:49 EST 2019","647","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","isAddwithDetailsButtonclicked","isAddwithDetailsButtonclicked",""
"passed","Thu Feb 21 17:00:00 EST 2019","Thu Feb 21 17:00:02 EST 2019","2014","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","clickMenubutton","clickMenubutton",""
"passed","Thu Feb 21 17:08:38 EST 2019","Thu Feb 21 17:08:38 EST 2019","49","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","isSelectdDropdownListPresent","isSelectdDropdownListPresent",""
"passed","Thu Feb 21 17:00:03 EST 2019","Thu Feb 21 17:00:03 EST 2019","34","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","isSelectdDropdownListPresent","isSelectdDropdownListPresent",""
"failed","Thu Feb 21 17:08:38 EST 2019","Thu Feb 21 17:08:38 EST 2019","47","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","verifyText","verifyText",""
"passed","Thu Feb 21 17:00:03 EST 2019","Thu Feb 21 17:00:03 EST 2019","28","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","isAddnewButtonDisplayed","isAddnewButtonDisplayed",""
"passed","Thu Feb 21 22:03:29 EST 2019","Thu Feb 21 22:03:29 EST 2019","11","Surefire suite","Surefire test","app.pp.SignInTest","app.pp.SignInTest","verifyPagetitle","verifyPagetitle",""
"passed","Thu Feb 21 17:08:38 EST 2019","Thu Feb 21 17:08:38 EST 2019","33","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","isFilterButtonisDisplayed","isFilterButtonisDisplayed",""
"passed","Thu Feb 21 15:07:48 EST 2019","Thu Feb 21 15:07:48 EST 2019","9","Default suite","Default test","app.pp.SignInTestPage","app.pp.SignInTestPage","verifyPagetitle","verifyPagetitle",""
"passed","Thu Feb 21 21:58:13 EST 2019","Thu Feb 21 21:58:14 EST 2019","32","Default suite","Default test","app.pp.HomepageTest","app.pp.HomepageTest","isHelpbuttonDisplayed","isHelpbuttonDisplayed",""
"passed","Thu Feb 21 16:48:54 EST 2019","Thu Feb 21 16:48:56 EST 2019","1528","Default suite","Default test","app.pp.SignInTest","app.pp.SignInTest","fillLogindetails","Perform a sucessfull login",""
"passed","Thu Feb 21 21:58:13 EST 2019","Thu Feb 21 21:58:13 EST 2019","84","Default suite","Default test","app.pp.HomepageTest","app.pp.HomepageTest","isInviteuserButtonseen","isInviteuserButtonseen",""
"passed","Thu Feb 21 21:58:13 EST 2019","Thu Feb 21 21:58:13 EST 2019","175","Default suite","Default test","app.pp.HomepageTest","app.pp.HomepageTest","isMenubuttonClicked","isMenubuttonClicked",""
"passed","Thu Feb 21 17:08:37 EST 2019","Thu Feb 21 17:08:38 EST 2019","1161","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","isAddnewButtonDisplayed","isAddnewButtonDisplayed",""
"broken","Thu Feb 21 16:58:50 EST 2019","Thu Feb 21 16:59:00 EST 2019","10154","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","isAddNewbuttonClicked","isAddNewbuttonClicked",""
"passed","Thu Feb 21 16:48:54 EST 2019","Thu Feb 21 16:48:54 EST 2019","31","Default suite","Default test","app.pp.SignInTest","app.pp.SignInTest","isLogoimageDisplayed","isLogoimageDisplayed",""
"passed","Thu Feb 21 17:00:02 EST 2019","Thu Feb 21 17:00:03 EST 2019","1167","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","isTeamplanningButtonclicked","isTeamplanningButtonclicked",""
"broken","Thu Feb 21 16:54:08 EST 2019","Thu Feb 21 16:54:18 EST 2019","10053","Default suite","Default test","app.pp.HomepageTest","app.pp.HomepageTest","verifyText","verifyText",""
"broken","Thu Feb 21 17:08:38 EST 2019","Thu Feb 21 17:08:48 EST 2019","10153","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","isAddNewbuttonClicked","isAddNewbuttonClicked",""
"broken","Thu Feb 21 17:00:03 EST 2019","Thu Feb 21 17:00:03 EST 2019","19","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","verifyText","verifyText",""
"passed","Thu Feb 21 22:03:28 EST 2019","Thu Feb 21 22:03:29 EST 2019","1279","Surefire suite","Surefire test","app.pp.HomepageTest","app.pp.HomepageTest","verifySuccessfulLogin","verifySuccessfulLogin",""
"passed","Thu Feb 21 21:58:14 EST 2019","Thu Feb 21 21:58:17 EST 2019","3240","Default suite","Default test","app.pp.HomepageTest","app.pp.HomepageTest","isSettingimageButtonDisplayed","isSettingimageButtonDisplayed",""
"passed","Thu Feb 21 17:00:03 EST 2019","Thu Feb 21 17:00:03 EST 2019","143","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","isFilterButtonisDisplayed","isFilterButtonisDisplayed",""
"broken","Thu Feb 21 17:08:36 EST 2019","Thu Feb 21 17:08:37 EST 2019","689","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","isTeamplanningButtonclicked","isTeamplanningButtonclicked",""
"broken","Thu Feb 21 17:00:03 EST 2019","Thu Feb 21 17:00:13 EST 2019","10029","Default suite","Default test","app.pp.TeamPlanningTest","app.pp.TeamPlanningTest","isAddwithDetailsButtonclicked","isAddwithDetailsButtonclicked",""
"passed","Thu Feb 21 17:08:34 EST 2019","Thu Feb 21 17:08:36 EST 2019","2086","Default suite","Default test","app.pp.TeamPlanningTestPage","app.pp.TeamPlanningTestPage","clickMenubutton","clickMenubutton",""
"passed","Thu Feb 21 21:58:17 EST 2019","Thu Feb 21 21:58:17 EST 2019","47","Default suite","Default test","app.pp.HomepageTest","app.pp.HomepageTest","isPinbuttonDisplayed","isPinbuttonDisplayed",""
